Task ID,Task Name,Task Type,Parent Task ID,WBS Code,Duration (Days),Start Date,End Date,Actual Start,Actual End,% Complete,Task Agility,Dependencies,Dependency Type,Lag/Lead,Criticality Level,Resource Assignment,Resource Load %,Cost Budget,Actual Cost,Status,Milestone,Deliverables,Blocking Tasks,Blocked By,Notes,Impact Score,Risk Score,Health Indicator,Priority Score,Total Float,Free Float,Critical Path,Weighted Progress,Rolled Up Progress,Variance Days,SPI,CPI,Risk Mitigation,Lessons Learned
P001,Digital Transformation Initiative,Parent,,1,120,2024-01-01,2024-06-17,2024-01-01,,35,Sequential,,,0,Critical,Program Management,100,5000000,1750000,In Progress,No,Complete digital transformation,,,Strategic initiative for 2024,70,30,Yellow,54,0,0,Yes,35,35,0,0.8,1.0,,
P002,Phase 1: Discovery & Planning,Parent,P001,1.1,20,2024-01-01,2024-01-29,2024-01-01,2024-01-20,100,Sequential,,,0,High,PM Team,100,500000,485000,Complete,No,Requirements and architecture,"P003,P004",,Foundation phase completed successfully,77,0,Green,46,5,5,No,100,100,0,1.0,0.9,,In progress
C001,Stakeholder Interviews,Child,P002,1.1.1,5,2024-01-02,2024-01-09,2024-01-02,2024-01-06,100,Parallel,,,0,High,BA Team,80,50000,48000,Complete,No,Interview notes and findings,C003,,Excellent insights gathered,43,0,Green,25,5,5,No,100,100,0,1.0,0.9,,In progress
C002,Current State Analysis,Child,P002,1.1.2,5,2024-01-02,2024-01-09,2024-01-02,2024-01-06,100,Parallel,,,0,High,Tech Architects,100,75000,72000,Complete,No,As-is documentation,C003,,Technical debt identified,43,0,Green,25,5,5,No,100,100,0,1.0,0.9,,In progress
C003,Future State Design,Child,P002,1.1.3,7,2024-01-07,2024-01-17,2024-01-07,2024-01-13,100,Sequential,"C001,C002",FS,0,Critical,Solution Architects,100,100000,98000,Complete,No,To-be architecture,C004,"C001,C002",Microservices architecture approved,86,0,Green,51,0,0,Yes,100,100,0,1.0,0.9,,In progress
P003,Phase 2: Infrastructure Setup,Parent,P001,1.2,30,2024-01-21,2024-03-04,2024-01-21,,65,Parallel,P002,FS,0,High,Infrastructure Team,100,1500000,975000,In Progress,No,Cloud infrastructure ready,P004,P002,AWS multi-region setup,66,12,Yellow,44,5,5,No,65,65,0,1.0,0.9,,
C005,Cloud Account Setup,Child,P003,1.2.1,3,2024-01-21,2024-01-25,2024-01-21,2024-01-23,100,Sequential,P002,FS,0,High,Cloud Team,50,10000,9500,Complete,No,AWS accounts ready,"C006,C007",,Multi-account strategy implemented,65,0,Green,39,5,5,No,100,100,0,1.0,0.9,,In progress
C007,Security Framework,Child,P003,1.2.3,10,2024-01-24,2024-02-07,2024-01-24,,70,Parallel,C005,FS,0,Critical,Security Team,100,200000,140000,In Progress,No,Security policies & tools,,C005,GDPR compliance in progress,38,15,Yellow,28,0,0,Yes,70,70,0,1.0,0.9,,
P004,Phase 3: Development Sprint 1,Parent,P001,1.3,40,2024-02-20,2024-04-16,,,0,Parallel,P003,SS,10,Critical,Dev Team Alpha,100,1000000,0,Planning,No,Core modules developed,P005,P003,Agile development approach,78,0,Green,46,0,0,Yes,0,0,0,0.8,1.0,,
M001,Project Kickoff Complete,Milestone,P002,1.1.0,0,2024-01-01,,2024-01-01,2024-01-01,100,Sequential,,,0,High,All Teams,0,0,0,Complete,Yes,Kickoff meeting held,,,Successful project launch,45,0,Green,27,5,5,No,100,100,0,1.0,1.0,,In progress
M002,Infrastructure Ready,Milestone,P003,1.2.0,0,2024-02-19,,,,0,Sequential,C007,FS,0,Critical,Infrastructure Team,0,0,0,Not Started,Yes,Infrastructure sign-off,P004,,Gate 2 milestone,82,0,Green,49,0,0,Yes,0,0,0,0.8,1.0,,
R001,Security Vulnerability Assessment,Child,P003,1.2.9,3,2024-02-01,2024-02-06,2024-02-01,,40,Parallel,C007,SS,3,Critical,Security Team,100,30000,12000,Delayed,No,Vulnerability report,,,Critical vulnerabilities found - remediation in progress,44,30,Orange,38,0,0,Yes,40,40,-2,0.8,1.0,,
